v_code,A_nome,A_desde,A_tam,B_label,v050_pop,v050_hh,evidence
V001,CODIGO DA MICRORREGIÃO,1,3,CODIGO DA MICRORREGIÃO,Y,Y,A+B+v050
V002,CODIGO DO MUNICÍPIO,4,3,CODIGO DO MUNICÍPIO,Y,Y,A+B+v050
V003,CODIGO DO DISTRITO,7,2,CODIGO DO DISTRITO,Y,Y,A+B+v050
V004,CODIGO DA SITUAÇÃO DO DOMICILIO,9,1,CODIGO DA SITUAÇÃO DO DOMICILIO,Y,Y,A+B+v050
V005,TOTAL DE PESSOAS DA FAMILIA,10,2,TOTAL DE PESSOAS,Y,N,A+B+v050
V006,CONDIÇÃO DA FAMÍLIA,12,1,CONDIÇÃO DA FAMÍLIA,Y,Y,A+B+v050
V007,ESPÉCIE DO DOMICÍLIO,13,1,ESPÉCIE DO DOMICÍLIO,Y,Y,A+B+v050
V008,TIPO DO DOMICÍLIO,14,1,TIPO DO DOMICÍLIO,Y,Y,A+B+v050
V009,CONDIÇÃO DE OCUPAÇÃO,15,1,CONDIÇÃO DE OCUPAÇÃO,Y,Y,A+B+v050
V010,"ALUGUEL OU PRESTAÇÃO MENSAL (SALÁRIO MÍNIMO VIGENTE NA ÉPOCA: CR$36.161,60)",16,1,"ALUGUEL OU PRESTAÇÃO MENSAL (SALÁRIO MÍNIMO VIGENTE NA ÉPOCA: CR$36.161,60)",Y,Y,A+B+v050
V011,TEMPO DE RESIDÊNCIA EM MESES OU ANOS,17,1,TEMPO DE RESIDÊNCIA EM MESES OU ANOS,Y,Y,A+B+v050
V012,FORMA DE ABASTECIMENTO DE ÁGUA,18,1,FORMA DE ABASTECIMENTO DE ÁGUA,Y,Y,A+B+v050
V013,TIPO DE INSTALAÇÃO SANITARIA,19,1,TIPO DE INSTALAÇÃO SANITARIA,Y,Y,A+B+v050
V014,POSSUI ILUMINAÇÃO ELÉTRICA,20,1,POSSUI ILUMINAÇÃO ELÉTRICA,Y,Y,A+B+v050
V015,FOGÃO,21,1,FOGÃO,Y,Y,A+B+v050
V016,RÁDIO,22,1,RÁDIO,Y,Y,A+B+v050
V017,POSSUI GELADEIRA,23,1,POSSUI GELADEIRA,Y,Y,A+B+v050
V018,TELEVISÃO,24,1,TELEVISÃO,Y,Y,A+B+v050
V019,AUTOMOVEL,25,1,AUTOMOVEL,Y,Y,A+B+v050
V020,TOTAL DE CÔMODOS,26,2,TOTAL DE CÔMODOS,Y,Y,A+B+v050
V021,NÚMERO DE DORMITÓRIOS,28,2,NÚMERO DE DORMITÓRIOS,Y,Y,A+B+v050
V022,CODIGO DO INFORMANTE,30,1,CODIGO DO INFORMANTE,Y,N,A+B+v050
V023,SEXO,31,1,SEXO,Y,N,A+B+v050
V024,CONDIÇÃO DE PRESENÇA (NORMALMENTE SÓ SÃO TABULADOS OS MORADORES DE CÓDIGO 1 E 2),32,1,CONDIÇÃO DE PRESENÇA (NORMALMENTE SÓ SÃO TABULADOS OS MORADORES DE CÓDIGO 1 E 2),Y,N,A+B+v050
V025,PARENTESCO OU RELAÇÃO COM O CHEFE DA FAMÍLIA,33,1,PARENTESCO OU RELAÇÃO COM O CHEFE DA FAMÍLIA,Y,N,A+B+v050
V026,TIPO DE IDADE,34,1,TIPO DE IDADE,Y,N,A+B+v050
V027,IDADE EM MESES OU ANOS,35,2,IDADE EM MESES OU ANOS,Y,N,A+B+v050
V028,POSSUI RELIGIÃO,37,1,POSSUI RELIGIÃO,Y,N,A+B+v050
V029,CODIGO DA NACIONALIDADE,38,1,CODIGO DA NACIONALIDADE,Y,N,A+B+v050
V030,CODIGO DA NATURALIDADE,39,2,CODIGO DA NATURALIDADE,Y,N,A+B+v050
V031,TEMPO DE RESIDÊNCIA NESTA UF,41,1,TEMPO DE RESIDÊNCIA NESTA UF,Y,N,A+B+v050
V032,TEMPO DE RESIDENCIA NESTE MUNICIPIO,42,1,TEMPO DE RESIDENCIA NESTE MUNICIPIO,Y,N,A+B+v050
V033,UF QUE RESIDIA ANTES DE MUDAR-SE PARA ESTE MUNICÍPIO,43,2,UF QUE RESIDIA ANTES DE MUDAR-SE PARA ESTE MUNICÍPIO,Y,N,A+B+v050
V034,SITUAÇÃO DA RESIDENCIA NO MUNICÍPIO ONDE MORAVA ANTERIORMENTE,45,1,SITUAÇÃO DA RESIDENCIA NO MUNICÍPIO ONDE MORAVA ANTERIORMENTE,Y,N,A+B+v050
V035,ALFABETIZAÇÃO,46,1,ALFABETIZAÇÃO,Y,N,A+B+v050
V036,FREQUENTA A ESCOLA,47,1,FREQUENTA A ESCOLA,Y,N,A+B+v050
V037,ULTIMA SERIE QUE CONCLUIU COM APROVAÇÃO NESTE CURSO QUE FREQUENTOU ANTERIOMENTE,48,1,ULTIMA SERIE QUE CONCLUIU COM APROVAÇÃO NESTE CURSO QUE FREQUENTOU ANTERIOMENTE,Y,N,A+B+v050
V038,ULTIMO GRAU CONCLUIDO COM APROVAÇÃO,49,1,ULTIMO GRAU CONCLUIDO COM APROVAÇÃO,Y,N,A+B+v050
V039,ESPECIE DE CURSO CONCLUIDO,50,2,ESPECIE DE CURSO CONCLUIDO,Y,N,A+B+v050
V040,ESTADO CONJUGAL,52,1,ESTADO CONJUGAL,Y,N,A+B+v050
V041,RENDIMENTO MEDIO MENSAL,53,4,RENDIMENTO MEDIO MENSAL,Y,N,A+B+v050
V042,MUNICÍPIO ONDE TRABALHA OU ESTUDA,57,1,MUNICÍPIO ONDE TRABALHA OU ESTUDA,Y,N,A+B+v050
V043,SITUAÇÃO PRINCIPAL DE EMPREGO,58,1,SITUAÇÃO PRINCIPAL DE EMPREGO,Y,N,A+B+v050
V044,OCUPAÇÃO PRINCIPAL,59,3,OCUPAÇÃO PRINCIPAL,Y,N,A+B+v050
V045,CLASSIFICAÇÃO DE ATIVIDADE,62,3,CLASSIFICAÇÃO DE ATIVIDADE,Y,N,A+B+v050
V046,POSIÇÃO NA OCUPAÇÃO,65,1,POSIÇÃO NA OCUPAÇÃO,Y,N,A+B+v050
V047,OCUPAÇÃO QUE EXERCIA NA ULTIMA SEMANA DE REFERENCIA DA PESQUISA (25/08/1970 A 31/08/1970),66,1,OCUPAÇÃO QUE EXERCIA NA ULTIMA SEMANA DE REFERENCIA DA PESQUISA (25/08/1970 A 31/08/1970),Y,N,A+B+v050
V048,TEMPO OU HORA DE TRABALHO NA ULTIMA SEMANA,67,1,TEMPO OU HORA DE TRABALHO NA ULTIMA SEMANA,Y,N,A+B+v050
V049,HÁ QUANTO TEMPO PROCURA TRABALHO,68,1,HÁ QUANTO TEMPO PROCURA TRABALHO,Y,N,A+B+v050
V050,QUANTIDADE DE FILHOS NASCIDOS VIVOS ATE A DATA DO CENSO,69,2,QUANTIDADE DE FILHOS NASCIDOS VIVOS ATE A DATA DO CENSO,Y,N,A+B+v050
V051,QUANTIDADE DE FILHOS NASCIDOS MORTOS,71,1,QUANTIDADE DE FILHOS NASCIDOS MORTOS,Y,N,A+B+v050
V052,QUANTIDADE DE FILHOS NASCIDOS NO ANO ANTERIOR AO CENSO,72,1,QUANTIDADE DE FILHOS NASCIDOS NO ANO ANTERIOR AO CENSO,Y,N,A+B+v050
V053,QUANTIDADE DE FILHOS QUE NASCERAM VIVOS E CONTINUAM VIVOS,73,2,QUANTIDADE DE FILHOS QUE NASCERAM VIVOS E CONTINUAM VIVOS,Y,N,A+B+v050
V054,PESO DA PESSOA,75,2,PESO DA PESSOA,Y,N,A+B+v050
