dataset,A_var,A_vcode_raw,A_label,A_descricao_clean,B_var,B_descricao,C_vcode,C_nome,C_desde,C_tam,v050_col,category,is_identifier,A_categories
households,UF,2,Código da Unidade da Federação,Código da Unidade da Federação,V2,UF,2,UF do Questionário,1.0,2.0,V2,IDENTIFIER,True,
households,MUNIC,5,Código do Município,Código do Município,V5,Município,5,Município,8.0,4.0,V5,IDENTIFIER,True,
households,CONTADOM,601,Número do domicílio,Número do domicílio,V601,Número do Domicílio,601,Número do Domicílio,14.0,7.0,V601,IDENTIFIER,True,
households,SITUACAO,198,198-Situação do Domicílio,Situação do Domicílio,V198,Situação do Domicílio,198,Situação do Domicílio,51.0,1.0,V198,MAPPED,False,1=Cidade ou Vila; 3=Area Urbana Isolada; 5=Aglomerado Rural; 7=Zona Rural
households,ESPECIE,201,201-Especie,Especie,V201,Espécie do Domicílio,201,Espécie do Domicílio,21.0,1.0,V201,MAPPED,False,1=Particular permanente; 2=Particular ocasional; 3=Particular improvisado; 5=Coletivo permanente; 7=Coletivo improvisado
households,TIPO,202,202-Tipo,Tipo,V202,Tipo de domicílio,202,Tipo do domicílio,22.0,1.0,V202,MAPPED,False,1=Casa; 3=Apartamento; 0=NSA
households,PAREDES,203,203-Paredes,Paredes,V203,Paredes,203,Paredes,23.0,1.0,V203,MAPPED,False,2=Alvenaria; 4=Madeira; 6=Taipa não revestido; 7=Material Aproveitado; 8=Palha; 0=Outro; 9=Ignorado; 1=NSA
households,PISO,204,204-Piso,Piso,V204,Piso,204,Piso,24.0,1.0,V204,MAPPED,False,1=Madeira; 3=Ceramica; 4=Cimento; 6=Material Aproveitado; 7=Tijolo; 8=Terra; 0=Outro; 9=Ignorado; 2=NSA
households,COBERTUR,205,205-Cobertura,Cobertura,V205,Cobertura,205,Cobertura,25.0,1.0,V205,MAPPED,False,1=Laje de Concreto; 2=Telha de Barro; 3=Telha Amianto; 4=Zinco; 5=Madeira; 6=Palha; 7=Material Aproveitado; 0=Outro; 9=Ignorado; 8=NSA
households,AGUA,206,206-Abastecimento de Agua,Abastecimento de Agua,V206,Abastecimento de água,206,Abastecimento de água,26.0,1.0,V206,MAPPED,False,1=Com/Canaliz Rede Geral; 3=Com/Canaliz Poço; 5=Com/Canaliz Outro; 6=Sem/Canaliz Rede Geral; 7=Sem/Canaliz Poço; 0=Sem/Canaliz Outro; 9=Ignorado; 8=NSA
households,SANESCOA,207,207-Instalação Sanitária - Escoadouro,Instalação Sanitária - Escoadouro,V207,Escoadouro,207,Escoadouro,27.0,1.0,V207,MAPPED,False,2=Rede Geral; 4=Fossa Séptica; 6=Fossa Rudimentar; 0=Outro; 8=Não Tem; 9=Ignorado; 1=NSA
households,CONDOCUP,209,209-Condição de Ocupação,Condição de Ocupação,V209,Condição de Ocupação,209,Condição de Ocupação,29.0,1.0,V209,MAPPED,False,1=Próprio já pagou; 3=Próprio não pago; 5=Alugado; 6=Cedido Empregador; 7=Cedido Particular; 0=Outro; 9=Ignorado; 8=NSA
households,ALUGUEL,210,210-Aluguel ou Prestação Mes,Aluguel ou Prestação Mes,,,,,,,,TRULY_NEW,False,
households,TPRESID,211,211-Tempo de Residencia,Tempo de Residencia,V211,Tempo de Residência,211,Tempo de Residência,36.0,3.0,V211,MAPPED,False,100=0 meses; 112=12 meses; 199=Meses ignorados; 300=0 anos; 398=98 anos; 399=Anos ignorados; 0=NSA
households,COMODOS,212,212-Total Comodos,Total Comodos,V212,Total de Cômodos,212,Total de Cômodos,39.0,2.0,V212,MAPPED,False,
households,COMODOR,213,213-Cômodos Servindo de Dormitório,Cômodos Servindo de Dormitório,V213,Cômodos servindo de dormitório,213,Cômodos servindo de dormitório,41.0,2.0,V213,MAPPED,False,
households,FOGAO,214,214-Para Cozinhar Usa,Para Cozinhar Usa,V214,"Para cozinhar, usa",214,Para cozinhar usa,43.0,1.0,V214,MAPPED,False,1=Fogão; 3=Fogão Improvisado; 5=Fogareiro; 8=Não Tem; 9=Ignorado; 0=NSA
households,COMBCOZI,215,215-Combustível Usado Cozinha,Combustível Usado Cozinha,V215,Combustível usado na cozinha,215,Combustível usado na cozinha,44.0,1.0,V215,MAPPED,False,1=Gás de Botijão; 2=Gás Canalizado; 3=Lenha; 4=Carvão; 5=Oleo ou Querosene; 6=Alcool; 7=Eletricidade; 8=Não Tem; 9=Ignorado; 0=NSA
households,TELEFONE,216,216-Telefone,Telefone,V216,Telefone,216,Telefone,45.0,1.0,V216,MAPPED,False,1=Tem; 8=Não Tem; 9=Ignorado; 0=NSA
households,ILUMINA,217,217-Iluminação Elétrica,Iluminação Elétrica,V217,Iluminação Elétrica,217,Iluminação Elétrica,46.0,1.0,V217,MAPPED,False,2=Tem Com Medidor; 4=Tem Sem Medidor; 8=Não Tem; 9=Ignorado; 0=NSA
households,RADIO,218,218-Rádio,Rádio,V218,Rádio,218,Rádio,47.0,1.0,V218,MAPPED,False,1=Tem; 8=Não Tem; 9=Ignorado; 0=NSA
households,GELADEIR,219,219-Geladeira,Geladeira,V219,Geladeira,219,Geladeira,48.0,1.0,V219,MAPPED,False,1=Tem; 8=Não Tem; 9=Ignorado; 0=NSA
households,TV,220,220-Televisão,Televisão,V220,Televisão,220,Televisão,49.0,1.0,V220,MAPPED,False,1=A Cores; 3=A Cores e PR/BR; 5=Preto e Branco; 8=Não Tem; 9=Ignorado; 0=NSA
households,AUTOMOVE,221,221-Automóvel,Automóvel,V221,Automóvel,221,Automóvel,50.0,1.0,V221,MAPPED,False,1=Tem uso particular; 3=Tem para Trabalhar; 8=Não Tem; 9=Ignorado; 0=NSA
