dataset,A_var,A_vcode,A_desc,B_matches
households,ALUGUEL,210,Aluguel ou Prestação Mes,V602(0.75):Aluguel ou Prestação Mensal
population,RPRINDIN,537,Renda Dinheiro Ocupação Principal,V609(0.40):Renda  dinh bruto outras ocupação
population,RPRINPRM,538,Renda Produtos Mercadorias Ocupação Principal,V609(0.40):Renda  dinh bruto outras ocupação
population,ROUTROCU,539,Renda Outras Ocupações,V609(0.40):Renda  dinh bruto outras ocupação
population,RAPOSENT,546,Renda Aposentoria/Pensão,(none)
population,RALUGUEL,547,Renda Aluguel/Arrendamento,(none)
population,RDOACOES,548,Renda Doações,(none)
population,RCAPITAL,549,Renda Outros Rendimentos Capital,(none)
population,IDADEMES,560,Idade em meses,V605(1.00):Idade em meses; V606(0.67):Idade em anos
population,IDADEANO,561,Idade em Anos,V606(1.00):Idade em anos; V605(0.67):Idade em meses
population,PESOP,586,Peso Pessoa,V604(0.50):Peso
