A_var,A_org_id,A_descricao,v_code,B_match_vcode,B_match_desc,C_match_vcode,C_match_desc,v050_present_pop,v050_present_hh,agreement,majority_strength
AGUA,91,Abastecimento de agua,V0205,V0205,Abastecimento de Água,V0205,Abastecimento de Água,Y,Y,12/12_UNANIMOUS,HIGH
ALUGUEFX,92,Faixa de aluguel,V2094,V2094,Faixas de Aluguel Mensal,V2094,Faixas de Aluguel Mensal,Y,Y,12/12_UNANIMOUS,HIGH
ALUGUEL,93,Aluguel mensal,V0209,V0209,Aluguel Mensal,V0209,Aluguel Mensal,Y,Y,12/12_UNANIMOUS,HIGH
APOPENS,11.1,Aposentado e/ou pensionista,V0359,V0359,Aposentado ou Pensionista,V0359,Aposentado ou Pensionista,Y,N,12/12_UNANIMOUS,HIGH
ASPIRPO,94,Aspirador de po,V0227,V0227,Aspirador de Pó,V0227,Aspirador de Pó,Y,Y,12/12_UNANIMOUS,HIGH
ATIVIDAD,11.2,Codigo da Atividade,V0347,V0347,Código da Atividade,V0347,Código da Atividade,Y,N,12/12_UNANIMOUS,HIGH
ATIVISET,11.3,Setor de atividade,V3471,V3471,Setor de Atividade,V3471,Setor de Atividade,Y,N,12/12_UNANIMOUS,HIGH
AUTPART,95,Automovel particular,V0218,V0218,Automóvel Particular,V0218,Automóvel Particular,Y,Y,12/12_UNANIMOUS,HIGH
AUTTRAB,96,Automovel para trabalho,V0219,V0219,Automóvel para Trabalho,V0219,Automóvel para Trabalho,Y,Y,12/12_UNANIMOUS,HIGH
BANHEIRO,97,Numero de Banheiros,V0213,V0213,Banheiros,V0213,Banheiros,Y,Y,12/12_UNANIMOUS,HIGH
CARTASS,11.4,Tem carteira trab. assinada,V0350,V0350,Posse de Carteira de Trabalho Assinada,V0350,Posse de Carteira de Trabalho Assinada,Y,N,12/12_UNANIMOUS,HIGH
CD107,98,Numero do domic no CD107,V0109,V0109,Número do Domicílio no CD 1.07,V0109,Número do Domicílio,Y,Y,12/12_UNANIMOUS,HIGH
COBERTUR,99,Cobertura,V0204,V0204,Cobertura,V0204,Cobertura,Y,Y,12/12_UNANIMOUS,HIGH
COMBCOZI,9.10,Combustivel usado p/ cozinhar,V0210,V0210,Combustível Usado para Cozinhar,V0210,Combustível Usado para Cozinhar,Y,Y,12/12_UNANIMOUS,HIGH
COMODOR,9.11,Comodos servindo de dormitorio,V0212,V0212,Cômodos Servindo de Dormitório,V0212,Cômodos Servindo de Dormitório,Y,Y,12/12_UNANIMOUS,HIGH
COMODOS,9.12,Total de comodos,V0211,V0211,Total de Cômodos,V0211,Total de Cômodos,Y,Y,12/12_UNANIMOUS,HIGH
CONDOCUP,9.13,Condicao de Ocupacao,V0208,V0208,Condição de Ocupação do Domicílio,V0208,Condição de Ocupação do Domicílio,Y,Y,12/12_UNANIMOUS,HIGH
CONPREV,11.5,Contribuinte previdencia,V0353,V0353,Contribuição para Instituto de Previdência Pública,V0353,Contribuição para Instituto de Previdência Pública,Y,N,12/12_UNANIMOUS,HIGH
DEFICIE,11.6,Deficiencia,V0311,V0311,Deficiência Física ou Mental,V0311,Deficiência Física ou Mental,Y,N,12/12_UNANIMOUS,HIGH
DEMOCOFX,9.14,Faixa densid morador/comodo,V2112,V2112,Faixas de Densidade de Moradores por Cômodo,V2112,Faixas de Densidade de Moradores por Cômodo,Y,Y,12/12_UNANIMOUS,HIGH
DEMOCOMO,9.15,Densidade morador comodo,V2111,V2111,Densidade de Moradores por Cômodo,V2111,Densidade de Moradores por Cômodo,Y,Y,12/12_UNANIMOUS,HIGH
DEMODOFX,9.16,Faixa densid morad/dormitorio,V2122,V2122,Faixas de Densidade de Moradores por Dormitório,V2122,Faixas de Densidade de Moradores por Dormitório,Y,Y,12/12_UNANIMOUS,HIGH
