0,1,2,3,4,5,6,7,8,9,10
#,Variável,Nome da varável,Tipo,Alias,Grupo,Min Range,Max Range,Decs,NSA,Ignorado
,,,,,,,,,,
21,UFNOM,Nome da UF,STRING,,,,,,,
22,UFNUM,Codigo da UF,STRING,,,,,,,
31,MESONOM,Nome da Mesorregiao,STRING,,,,,,,
32,MESONUM,Codigo da Mesorregiao,STRING,,,,,,,
41,MICRONOM,Nome da Microrregiao,STRING,,,,,,,
42,MICRONUM,Codigo da Microrregiao,STRING,,,,,,,
51,MUNICNOM,Nome do municipio,STRING,,,,,,,
52,METROP,Codigo da area metropolitana,INTEGER,,,0,11,,0,0
,,Categorías,,,,,,,,
,,0,Nao metropolitana,,,,,,,
,,1,Belem,,,,,,,
,,2,Fortaleza,,,,,,,
,,3,Recife,,,,,,,
,,4,Salvador,,,,,,,
,,5,Belo Horizonte,,,,,,,
,,6,Rio de Janeiro,,,,,,,
,,7,Sao Paulo,,,,,,,
,,8,Curitiba,,,,,,,
,,9,Porto Alegre,,,,,,,
,,10,Brasilia,,,,,,,
,,11,Vitoria,,,,,,,
53,MUNICNUM,Codigo do municipio,STRING,,,,,,,
85,SITSET,Situacao do Setor,INTEGER,,,0,9,,0,0
,,Categorías,,,,,,,,
,,1,Area urbanizada,,,,,,,
,,2,Area nao urbanizada,,,,,,,
,,3,Area urbanizada isolada,,,,,,,
,,4,Aglomerao rural de extensão urbana,,,,,,,
,,5,Aglomerado rural - povoado,,,,,,,
,,6,Aglomerado rural - nucleo,,,,,,,
,,7,Outros aglomerados,,,,,,,
,,8,Area rural (exclusive aglomerado rural),,,,,,,
9,DOMICIL,Domicilio,,,,,,,,
91,AGUA,Abastecimento de agua,INTEGER,,,1,6,,7,7
,,Categorías,,,,,,,,
,,1,Com canalização interna - Rede geral,,,,,,,
,,2,Com canalização interna - Poço ou Nascente,,,,,,,
,,3,Com canalização interna - Outra forma,,,,,,,
,,4,Sem canalização interna - Rede geral,,,,,,,
,,5,Sem canalização interna - Poço ou Nascente,,,,,,,
,,6,Sem canalização interna - Outra forma,,,,,,,
,,7,NSA,,,,,,,
92,ALUGUEFX,Faixa de aluguel,INTEGER,,,0,9,,10,10
,,Categorías,,,,,,,,
,,0,Nao paga,,,,,,,
,,1,"Ate 0,25 salário mínimo",,,,,,,
,,2,"Mais de 0,25 a 0,5 salário mínimo",,,,,,,
