A_var,A_org_id,A_descricao,A_tipo,A_categories
1,0,2,3,
UFNOM,21,Nome da UF,STRING,
UFNUM,22,Codigo da UF,STRING,
MESONOM,31,Nome da Mesorregiao,STRING,
MESONUM,32,Codigo da Mesorregiao,STRING,
MICRONOM,41,Nome da Microrregiao,STRING,
MICRONUM,42,Codigo da Microrregiao,STRING,
MUNICNOM,51,Nome do municipio,STRING,
METROP,52,Codigo da area metropolitana,INTEGER,0=Nao metropolitana | 1=Belem | 2=Fortaleza | 3=Recife | 4=Salvador | 5=Belo Horizonte | 6=Rio de Janeiro | 7=Sao Paulo | 8=Curitiba | 9=Porto Alegre | 10=Brasilia | 11=Vitoria
MUNICNUM,53,Codigo do municipio,STRING,
SITSET,85,Situacao do Setor,INTEGER,1=Area urbanizada | 2=Area nao urbanizada | 3=Area urbanizada isolada | 4=Aglomerao rural de extensão urbana | 5=Aglomerado rural - povoado | 6=Aglomerado rural - nucleo | 7=Outros aglomerados | 8=Area rural (exclusive aglomerado rural)
AGUA,91,Abastecimento de agua,INTEGER,1=Com canalização interna - Rede geral | 2=Com canalização interna - Poço ou Nascente | 3=Com canalização interna - Outra forma | 4=Sem canalização interna - Rede geral | 5=Sem canalização interna - Poço ou Nascente | 6=Sem canalização interna - Outra forma | 7=NSA
ALUGUEFX,92,Faixa de aluguel,INTEGER,"0=Nao paga | 1=Ate 0,25 salário mínimo | 2=Mais de 0,25 a 0,5 salário mínimo | 3=Mais de 0,5 a 1 salario minimo | 4=Mais de 1 a 2 salarios minimos | 5=Mais de 2 a 3 salarios minimos | 6=Mais de 3 a 4 salarios minimos | 7=Mais de 4 a 5 salarios minimos | 8=Mais de 5 salarios minimos | 9=Sem declaracao | 10=NSA"
ALUGUEL,93,Aluguel mensal,INTEGER,0=Nao paga | 999998=NSA | 999999=Ignorado
ASPIRPO,94,Aspirador de po,INTEGER,0=Nao tem | 1=Tem | 2=NSA
AUTPART,95,Automovel particular,INTEGER,0=Nao tem | 1=Um | 2=Dois | 3=Tres ou mais | 4=NSA
AUTTRAB,96,Automovel para trabalho,INTEGER,0=Nao tem | 1=Proprio | 2=Cedido | 3=NSA
BANHEIRO,97,Numero de Banheiros,INTEGER,0=Nao tem | 1=1 banheiro | 2=2 banheiros | 3=3 banheiros | 4=4 banheiros | 5=5 ou mais banheiros | 6=NSA
CD107,98,Numero do domic no CD107,INTEGER,
COBERTUR,99,Cobertura,INTEGER,1=Laje concreto | 2=Telha de barro | 3=Telha de cimento | 4=Zinco | 5=Madeira | 6=Palha | 7=Material aproveitado | 8=Outro | 9=NSA
COMBCOZI,9.10,Combustivel usado p/ cozinhar,INTEGER,0=Nao tem fogao | 1=Gas canalizado | 2=So botijao | 3=So lenha | 4=Botijao e lenha | 5=Carvao | 6=Outro | 7=NSA
COMODOR,9.11,Comodos servindo de dormitorio,INTEGER,0=9 ou mais | 9=NSA
COMODOS,9.12,Total de comodos,INTEGER,0=NSA
CONDOCUP,9.13,Condicao de Ocupacao,INTEGER,1=Proprio a construção e terreno | 2=Proprio so a construção | 3=Alugado | 4=Cedido empregador | 5=Cedido particular | 6=Outra | 7=NSA
DEMOCOFX,9.14,Faixa densid morador/comodo,INTEGER,"1=Ate 0,5 | 2=Mais de 0,5 a 1 | 3=Mais de 1 a 1,5 | 4=Mais de 1,5 a 2 | 5=Mais de 2 | 0=NSA"
DEMOCOMO,9.15,Densidade morador comodo,REAL,
DEMODOFX,9.16,Faixa densid morad/dormitorio,INTEGER,"1=Ate 1 | 2=Mais de 1 a 1,5 | 3=Mais de 1,5 a 2 | 4=Mais de 2 a 2,5 | 5=Mais de 2,5 a 3 | 6=Mais de 3 a 4 | 7=Mais de 4 | 0=NSA"
DEMODORM,9.17,Densidade morador dormitorio,REAL,
ESPECIE,9.18,Especie do domicilio,INTEGER,1=Particular - permanente | 2=Particular - improvisado | 3=Coletivo
FILTRO,9.19,Filtro de agua,INTEGER,0=Nao tem | 1=Tem | 2=NSA
FREEZER,9.20,Freezer,INTEGER,0=Nao tem | 1=Tem | 2=NSA
GELADEIR,9.21,Geladeira,INTEGER,0=Nao tem | 1=Uma porta | 2=Mais de uma porta | 3=NSA
ILUMINA,9.22,Iluminacao,INTEGER,1=Eletrica com medidor | 2=Eletrica sem medidor | 3=Oleo ou querosene | 4=Outra | 0=NSA
LIXO,9.23,Destino do lixo,INTEGER,"1=Coletado diretamente | 2=Coletado indiretamente | 3=Queimado | 4=Enterrado | 5=Jogado em terreno baldio | 6=Jogado em rio, lago, etc. | 7=Outro | 0=NSA"
LOCALIZA,9.24,Localizacao,INTEGER,1=Casa isolada ou de condominio | 2=Casa em conjunto residencial popular | 3=Casa em aglomerado subnormal | 4=Apartamento isolado ou de condominio | 5=Apartamento em conjunto residencial | 6=Apartamento em aglomerado subnormal | 7=Comodo | 0=NSA
MAQLAVAR,9.25,Maquina lavar roupa,INTEGER,0=Nao tem | 1=Tem | 2=NSA
PAREDES,9.26,Paredes,INTEGER,1=Alvenaria | 2=Madeira | 3=Taipa | 4=Material aproveitado | 5=Palha | 6=Outro | 0=NSA
PESO,9.27,Peso de expansao,REAL,
RADIO,9.28,Radio,INTEGER,0=Nao tem | 1=Tem | 2=NSA
RDOMICIV,9.29,Renda domiciliar,INTEGER,999999998=NSA | 999999999=Ignorado
