Ano,Variável,Label,Descrição,População a qual se aplica,Observação,Categorias
1991,V0099,Tipo de Registro,Tipo de Registro,populationToApply,,"1- domicilio
2- pessoas"
1991,V1101,Unidade da Federação,Unidade da Federação,populationToApply,,Ver arquivo auxiliar uf_1991.xls
1991,V7004,Macrorregião,Macrorregião,populationToApply,,"1- Região Norte
2- Região Nordeste
3- Região Sudeste
4- Região Sul
5- Região Centro-Oeste"
1991,V0102,Identificação do Questionário,Identificação do Questionário,populationToApply,,"Campo numérico, sem categorias"
1991,V0098,Ordem da Pessoa,Ordem da Pessoa,populationToApply,,"Campo numérico, sem categorias"
1991,V0301,Sexo,Sexo,populationToApply,,"1- Masculino
2- Feminino"
1991,V0302,Condição no Domicílio,Condição no Domicílio,populationToApply,,"1- Chefe
2- Cônjuge
3- Filho(a)
4- Enteado(a)
5- Pai ou Mãe
6- Sogro(a)
7- Avô(ó) ou Bisavô(ó)
8- Neto(a) ou Bisneto(a)
9- Genro ou Nora
10- Irmão ou Irmã
11- Cunhado(a)
12- Outros Parentes
13- Agregado(a)
14- Pensionista
15- Empregado(a) Doméstico(a)
16- Parente do(a) Empregado(a) Doméstico(a)
20- Individual"
1991,V0303,Condição na Família,Condição na Família,populationToApply,,"1- Chefe
2- Cônjuge
3- Filho(a)
4- Enteado(a)
5- Pai ou Mãe
6- Sogro(a)
7- Avô(ó) ou Bisavô(ó)
8- Neto(a) ou Bisneto(a)
9- Genro ou Nora
10- Irmão ou Irmã
11- Cunhado(a)
12- Outros Parentes
13- Agregado(a)
14- Pensionista
15- Empregado(a) Doméstico(a)
20- Individual"
1991,V0304,Tipo de Família,Tipo de Família,populationToApply,,"1- Única
2- Domicílio Coletivo
3- 1ª família convivente
4- 2ª família convivente
5- 3ª família convivente
6- 4ª família convivente
7- 5ª família convivente"
1991,V2011,Espécie de Família,Espécie de Família,populationToApply,,"1- Nuclear
2- Estendida
3- Composta
4- Unipessoal"
1991,V3041,Total de Homens na Família,Total de Homens na Família,populationToApply,,"Campo numérico, sem categorias"
1991,V3042,Total de Mulheres na Família,Total de Mulheres na Família,populationToApply,,"Campo numérico, sem categorias"
1991,V3043,Renda do Casal,Renda do Casal,populationToApply,,"Campo numérico, sem categorias"
1991,V3044,Faixas de Renda do Casal,Faixas de Renda do Casal,populationToApply,,"1- Até 1/4 de salário mínimo
2- Mais de 1/4 a 1/2 salário mínimo
3- Mais de 1/2 a 3/4 salário mínimo
4- Mais de 3/4 a 1 salário mínimo
5- Mais de 1 a 1 1/4 salários mínimos
6- Mais de 1 1/4 a 1 1/2 salários mínimos
7- Mais de 1 1/2 a 2 salários mínimos
8- Mais de 2 a 3 salários mínimos
9- Mais de 3 a 5 salários mínimos
10- Mais de 5 a 10 salários mínimos
11- Mais de 10 a 15 salários mínimos
12- Mais de 15 a 20 salários mínimos
13- Mais de 20 salários mínimos
14- Sem Rendimentos
15- Sem Declaração
- Pessoas com menos de 10 anos"
1991,V3045,Rendimento Nominal Médio Mensal Familiar,Rendimento Nominal Médio Mensal Familiar,populationToApply,,"Campo numérico, sem categorias"
