Variáveis do Registro de Pessoas 1991,Unnamed: 1,Unnamed: 2,Unnamed: 3
Variavel,Descrição,Categorias,
V0099,Tipo de Registro,"1   domicilio
2   pessoas",
V1101,UF,"11   Rondônia
12   Acre
13   Amazonas
14   Roraima
15   Pará
16   Amapá
17   Tocantins
21   Maranhão
22   Piauí
23   Ceará
24   Rio Grande do Norte
25   Paraíba
26   Pernambuco
27   Alagoas
28   Sergipe
29   Bahia
31   Minas Gerais
32   Espírito Santo
33   Rio de Janeiro
35   São Paulo
41   Paraná
42   Santa Catarina
43   Rio Grande do Sul
50   Mato Grosso do Sul
51   Mato Grosso
52   Goiás
53   Distrito Federal",
V7004,Macrorregião,"1    Região Norte
2    Região Nordeste
3    Região Sudeste
4    Região Sul
5    Região Centro-Oeste",
V0102,Identificação do Questionário,-,
V0098,Ordem da Pessoa,00 para os registros de domicílio,
V0301,Sexo,"1   Masculino
2   Feminino",
V0302,Condição no Domicílio,"01   Chefe
02   Cônjuge
03   Filho(a)
04   Enteado(a)
05   Pai ou Mãe
06   Sogro(a)
07   Avô(ó) ou Bisavô(ó)
08   Neto(a) ou Bisneto(a)
09   Genro ou Nora
10   Irmão ou Irmã
11   Cunhado(a)
12   Outros Parentes
13   Agregado(a)
14   Pensionista
15   Empregado(a) Doméstico(a)
16   Parente do(a) Empregado(a) Doméstico(a)
20   Individual",
V0303,Condição na Família,"01   Chefe
02   Cônjuge
03   Filho(a)
04   Enteado(a)
05   Pai ou Mãe
06   Sogro(a)
07   Avô(ó) ou Bisavô(ó)
08   Neto(a) ou Bisneto(a)
09   Genro ou Nora
10   Irmão ou Irmã
11   Cunhado(a)
12   Outros Parentes
13   Agregado(a)
14   Pensionista
15   Empregado(a) Doméstico(a)
20   Individual",
V0304,Tipo de Família,"1   Única
2   Domicílio Coletivo
3   1ª família convivente
4   2ª família convivente
5   3ª família convivente
6   4ª família convivente
7   5ª família convivente",
V2011,Espécie de Família,"1   Nuclear
2   Estendida
3   Composta
4   Unipessoal",
V3041,Total de Homens na Família,,
V3042,Total de Mulheres na Família,,
V3043,Renda do Casal,"00000000                =  sem rendimentos
de 00000001 a 99999997  =  valor do rendimento
99999999                =  sem declaração
O casal foi considerado como:
a) individual de 10 anos ou mais de idade em domicilio coletivo;
b) chefe sem cônjuge; ou
c) chefe mais cônjuge",
V3044,Faixas de Renda do Casal,"01   Até 1/4 de salário mínimo
02   Mais de 1/4 a 1/2 salário mínimo
03   Mais de 1/2 a 3/4 salário mínimo
04   Mais de 3/4 a 1 salário mínimo
05   Mais de 1 a 1 1/4 salários mínimos
06   Mais de 1 1/4 a 1 1/2 salários mínimos
07   Mais de 1 1/2 a 2 salários mínimos
08   Mais de 2 a 3 salários mínimos
09   Mais de 3 a 5 salários mínimos
10   Mais de 5 a 10 salários mínimos
11   Mais de 10 a 15 salários mínimos
12   Mais de 15 a 20 salários mínimos
13   Mais de 20 salários mínimos
14   Sem Rendimentos
15   Sem Declaração
branco   Pessoas com menos de 10 anos",
V3045,Rendimento Nominal Médio Mensal Familiar,"0000000000                 = sem rendimentos
de 0000000001 a 9999999997 = valor do rendimento
9999999999                 = sem declaração",
V3046,Faixas de Rendimento Nominal Médio Mensal Familiar,"01   Até 1/4 de salário mínimo
02   Mais de 1/4 a 1/2 salário mínimo
03   Mais de 1/2 a 1 salário mínimo
04   Mais de 1 a 2 salários mínimos
05   Mais de 2 a 3 salários mínimos
06   Mais de 3 a 5 salários mínimos
07   Mais de 5 a 10 salários mínimos
08   Mais de 10 a 15 salários mínimos
09   Mais de 15 a 20 salários mínimos
10   Mais de 20 a 30 salários mínimos
11   Mais de 30 salários mínimos
12   Sem Rendimentos
13   Sem Declaração
branco   Individual menor de 10 anos em domicílio coletivo",
V3047,Faixas de Rendimento Real Médio Mensal Familiar,"01   Até 1/4 de salário mínimo
02   Mais de 1/4 a 1/2 salário mínimo
03   Mais de 1/2 a 1 salário mínimo
04   Mais de 1 a 2 salários mínimos
05   Mais de 2 a 3 salários mínimos
06   Mais de 3 a 5 salários mínimos
07   Mais de 5 a 10 salários mínimos
08   Mais de 10 a 15 salários mínimos
09   Mais de 15 a 20 salários mínimos
10   Mais de 20 a 30 salários mínimos
11   Mais de 30 salários mínimos
12   Sem Rendimentos
13   Sem Declaração
branco   Individual menor de 10 anos em domicílio coletivo",
V3049,Faixas de Rendimento Nominal Médio Mensal Familiar Per Capita,"01   Até 1/8 de salário mínimo
02   Mais de 1/8 a 1/4 salário mínimo
03   Mais de 1/4 a 1/2 salário mínimo
04   Mais de 1/2 a 3/4 salário mínimo
05   Mais de 3/4 a 1 salário mínimo
06   Mais de 1 a 1 1/4 salários mínimos
07   Mais de 1 1/4 a 1 1/2 salários mínimos
08   Mais de 1 1/2 a 2 salários mínimos
09   Mais de 2 a 3 salários mínimos
10   Mais de 3 a 5 salários mínimos
11   Mais de 5 a 10 salários mínimos
12   Mais de 10 salários mínimos
13   Sem Rendimento
14   Sem Declaração
branco   Individual menor de 10 anos em domicílio coletivo",
V3005,Número de Ordem da Mãe,"01 a 69 = número de ordem no questionário da mãe que reside no domicílio
70      = está viva mas não reside no domicílio
80      = falecida
90      = não sabe
99      = ignorado",
V3071,Tipo de Idade,"1   Idade presumida
2   Idade declarada",
V3072,Idade (em anos completos),,
V3073,Idade (em meses completos),"00      = menos de um mês de idade
01 a 11 = número de meses de idade
branco  = idade em anos",
V0309,Raça ou Cor,"1   Branca
2   Preta
3   Amarela
4   Parda
5   Indígena
9   Ignorado",
V0311,Deficiência Física ou Mental,"0   Nenhuma das enumeradas
1   Cegueira
2   Surdez
3   Paralisia de um dos lados
4   Paralisia das pernas
5   Paralisia total
6   Falta de membro(s) ou parte dele(s)
7   Deficiência mental
8   Mais de uma
9   Ignorado",
V0312,Morou neste Município,"1   Só na zona urbana
2   Só na zona rural
3   Nas zonas urbana e rural",
V0313,Anos de Moradia na Situação do Domicílio,"00      = menos de um ano de moradia
01 a 97 = número de anos de moradia
98      = nunca mudou",
V0314,Nasceu neste Município,"1   Sim e sempre morou neste
2   Sim, mas já morou em outro
3   Não nasceu",
V3151,Nacionalidade,"1   Brasileiro nato
2   Naturalizado brasileiro
3   Estrangeiro
branco   (VAR0314) = código 1 ou 2",
V3152,Ano que fixou residência no País,"00      = brasileiro nato ou estrangeiro que fixou residência no ano de 1900 ou em ano anterior
01 a 91 = ano que fixou residência no país(1901 a 1991)
branco  = (VAR0314) = código 1 ou 2",
V0316,Unidade da Federação ou País Estrangeiro de Nascimento,"01   Rondônia
02   Acre
03   Amazonas
04   Roraima
05   Pará
06   Amapá
07   Tocantins
08   Maranhão
09   Piauí
10   Ceará
11   Rio Grande do Norte
12   Paraíba
13   Pernambuco
14   Alagoas
15   Sergipe
16   Bahia
17   Minas Gerais
18   Espírito Santo
19   Rio de Janeiro
20   São Paulo
21   Paraná
22   Santa Catarina
23   Rio Grande do Sul
24   Mato Grosso do Sul
25   Mato Grosso
26   Goiás
27   Distrito Federal
29   Brasil sem especificação
30   Argentina
31   Bolívia
32   Canadá
33   Chile
34   Colômbia
35   Costa Rica
36   Cuba
37   Equador
38   Estados Unidos
39   Guatemala
40   Guiana Inglesa
41   Guiana Francesa
42   Haiti
43   Honduras
44   Belize
45   Jamaica
46   México
47   Nicarágua
48   Panamá
49   Paraguai
50   Peru
51   República Dominicana
52   El Salvador
53   Suriname
54   Uruguai
55   Venezuela
56   Outros países da América
58   Alemanha
59   Áustria
60   Bélgica
61   Bulgária
62   Dinamarca
63   Espanha
64   Finlândia
65   França
66   Grã-Bretanha
67   Grécia
68   Holanda
69   Hungria
70   Irlanda
71   Itália
72   Iugoslávia
73   Noruega
74   Polônia
75   Portugal
76   Romênia
77   Suécia
78   Suíça
79   Checoslováquia
80   U.R.S.S.
81   Outros países da Europa
82   Angola
83   Egito
84   Moçambique
85   Outros países da África
86   China Continental
87   China Formosa
88   Coréia
89   Índia
90   Israel
91   Japão
92   Líbano
93   Paquistão
94   Síria
95   Turquia
96   Outros países da Ásia
97   Austrália
98   Outros países da Oceania
99   Estrangeiro não especificado
branco   (VAR0314) = código 1 ou 2",666.0
V0317,Anos em que mora na Unidade da Federação,,
V0318,Anos em que mora no Município,,
