A_var,A_descricao,A_org_id,B_var,B_score,B_descricao,C_var,C_score,C_descricao,v050_pop,v050_hh,category
1,2,0,,0.0,,,0.0,,False,False,TRULY_NEW
UFNOM,Nome da UF,21,,0.0,,V1101,0.5,UF,False,False,C_ONLY
UFNUM,Codigo da UF,22,V0346,0.33,Código da Ocupação,V1101,0.5,UF,True,False,B_C_DISAGREE
MESONOM,Nome da Mesorregiao,31,V7001,0.5,Mesorregião,V7001,0.5,Mesorregião,True,True,MAPPED
MESONUM,Codigo da Mesorregiao,32,V7001,0.5,Mesorregião,V7001,0.5,Mesorregião,True,True,MAPPED
MICRONOM,Nome da Microrregiao,41,V7002,0.5,Microrregião,V7002,0.5,Microrregião,True,True,MAPPED
MICRONUM,Codigo da Microrregiao,42,V7002,0.5,Microrregião,V7002,0.5,Microrregião,True,True,MAPPED
MUNICNOM,Nome do municipio,51,V1102,0.5,Município,V1102,0.5,Município,True,True,MAPPED
METROP,Codigo da area metropolitana,52,V7003,0.5,Região Metropolitana,V7003,0.5,Regiao metropolitana,True,True,MAPPED
MUNICNUM,Codigo do municipio,53,V1102,0.5,Município,V1102,0.5,Município,True,True,MAPPED
SITSET,Situacao do Setor,85,V1061,0.33,Situação do Domicílio,V3471,0.33,Setor de Atividade,True,True,B_C_DISAGREE
AGUA,Abastecimento de agua,91,V0205,1.0,Abastecimento de Água,V0205,1.0,Abastecimento de Água,True,True,MAPPED
ALUGUEFX,Faixa de aluguel,92,V0209,0.33,Aluguel Mensal,V0209,0.33,Aluguel Mensal,True,True,MAPPED
ALUGUEL,Aluguel mensal,93,V0209,1.0,Aluguel Mensal,V0209,1.0,Aluguel Mensal,True,True,MAPPED
ASPIRPO,Aspirador de po,94,V0227,1.0,Aspirador de Pó,V0227,1.0,Aspirador de Pó,True,True,MAPPED
AUTPART,Automovel particular,95,V0218,1.0,Automóvel Particular,V0218,1.0,Automóvel Particular,True,True,MAPPED
AUTTRAB,Automovel para trabalho,96,V0219,1.0,Automóvel para Trabalho,V0219,1.0,Automóvel para Trabalho,True,True,MAPPED
BANHEIRO,Numero de Banheiros,97,V0213,0.5,Banheiros,V0213,0.5,Banheiros,True,True,MAPPED
CD107,Numero do domic no CD107,98,,0.2,,,0.25,,False,False,TRULY_NEW
COBERTUR,Cobertura,99,V0204,1.0,Cobertura,V0204,1.0,Cobertura,True,True,MAPPED
COMBCOZI,Combustivel usado p/ cozinhar,9.10,V0210,0.75,Combustível Usado para Cozinhar,V0210,0.75,Combustível Usado para Cozinhar,True,True,MAPPED
COMODOR,Comodos servindo de dormitorio,9.11,V0212,1.0,Cômodos Servindo de Dormitório,V0212,1.0,Cômodos Servindo de Dormitório,True,True,MAPPED
COMODOS,Total de comodos,9.12,V0211,1.0,Total de Cômodos,V0211,1.0,Total de Cômodos,True,True,MAPPED
CONDOCUP,Condicao de Ocupacao,9.13,V0208,0.67,Condição de Ocupação do Domicílio,V0208,0.67,Condição de Ocupação do Domicílio,True,True,MAPPED
DEMOCOFX,Faixa densid morador/comodo,9.14,,0.17,,,0.17,,False,False,TRULY_NEW
DEMOCOMO,Densidade morador comodo,9.15,V2111,0.5,Densidade de Moradores por Cômodo,V2111,0.5,Densidade de Moradores por Cômodo,True,True,MAPPED
