A_var,R1A1_vcode,R1A1_strength,R1A2_vcode,R1A2_strength,R1A3_vcode,R1A3_strength,consensus,chosen
AGUA,V0205,HIGH,V0205,HIGH,V0205,HIGH,UNANIMOUS,V0205
ALUGUEFX,V2094,HIGH,V2094,HIGH,V2094,HIGH,UNANIMOUS,V2094
ALUGUEL,V0209,HIGH,V0209,HIGH,V0209,HIGH,UNANIMOUS,V0209
APOPENS,V0359,HIGH,V0359,HIGH,V0359,HIGH,UNANIMOUS,V0359
ASPIRPO,V0227,HIGH,V0227,HIGH,V0227,HIGH,UNANIMOUS,V0227
ATIVIDAD,V0347,HIGH,V0347,HIGH,V0347,HIGH,UNANIMOUS,V0347
ATIVISET,V3471,HIGH,V3471,HIGH,V3471,HIGH,UNANIMOUS,V3471
AUTPART,V0218,HIGH,V0218,HIGH,V0218,HIGH,UNANIMOUS,V0218
AUTTRAB,V0219,HIGH,V0219,HIGH,V0219,HIGH,UNANIMOUS,V0219
BANHEIRO,V0213,HIGH,V0213,HIGH,V0213,HIGH,UNANIMOUS,V0213
CARTASS,V0350,HIGH,V0350,HIGH,V0350,HIGH,UNANIMOUS,V0350
CD107,V0109,HIGH,V0109,HIGH,V0109,HIGH,UNANIMOUS,V0109
COBERTUR,V0204,HIGH,V0204,HIGH,V0204,HIGH,UNANIMOUS,V0204
COMBCOZI,V0210,HIGH,V0210,HIGH,V0210,HIGH,UNANIMOUS,V0210
COMODOR,V0212,HIGH,V0212,HIGH,V0212,HIGH,UNANIMOUS,V0212
COMODOS,V0211,HIGH,V0211,HIGH,V0211,HIGH,UNANIMOUS,V0211
CONDOCUP,V0208,HIGH,V0208,HIGH,V0208,HIGH,UNANIMOUS,V0208
CONPREV,V0353,HIGH,V0353,HIGH,V0353,HIGH,UNANIMOUS,V0353
DEFICIE,V0311,HIGH,V0311,HIGH,V0311,HIGH,UNANIMOUS,V0311
DEMOCOFX,V2112,HIGH,V2112,HIGH,V2112,HIGH,UNANIMOUS,V2112
DEMOCOMO,V2111,HIGH,V2111,HIGH,V2111,HIGH,UNANIMOUS,V2111
DEMODOFX,V2122,HIGH,V2122,HIGH,V2122,HIGH,UNANIMOUS,V2122
DEMODORM,V2121,HIGH,V2121,HIGH,V2121,HIGH,UNANIMOUS,V2121
EDANOEST,V3241,HIGH,V3241,HIGH,V3241,HIGH,UNANIMOUS,V3241
EDCURSNS,V0326,HIGH,V0326,HIGH,V0326,HIGH,UNANIMOUS,V0326
EDCURSO,V0329,HIGH,V0329,HIGH,V0329,HIGH,UNANIMOUS,V0329
EDGRAU,V0325,HIGH,V0325,HIGH,V0325,HIGH,UNANIMOUS,V0325
EDSABELE,V0323,HIGH,V0323,HIGH,V0323,HIGH,UNANIMOUS,V0323
EDSERIE,V0324,HIGH,V0324,HIGH,V0324,HIGH,UNANIMOUS,V0324
EDULGRAU,V0328,HIGH,V0328,HIGH,V0328,HIGH,UNANIMOUS,V0328
EDULSERI,V0327,HIGH,V0327,HIGH,V0327,HIGH,UNANIMOUS,V0327
EMPESTB,V0351,HIGH,V0351,HIGH,V0351,HIGH,UNANIMOUS,V0351
ESPECIE,V0201,HIGH,V0201,HIGH,V0201,HIGH,UNANIMOUS,V0201
ESPFAM,V2011,HIGH,V2011,HIGH,V2011,HIGH,UNANIMOUS,V2011
FILTRO,V0216,HIGH,V0216,HIGH,V0216,HIGH,UNANIMOUS,V0216
FLDOMICH,V0335,HIGH,V0337,LOW,V0335,HIGH,MAJORITY,V0335
FLDOMICM,V0336,HIGH,V0338,LOW,V0336,HIGH,MAJORITY,V0336
FLMORTOH,V0339,HIGH,V0339,HIGH,V0339,HIGH,UNANIMOUS,V0339
FLMORTOM,V0340,HIGH,V0340,HIGH,V0340,HIGH,UNANIMOUS,V0340
FLNAMORH,V0341,HIGH,V0341,HIGH,V0341,HIGH,UNANIMOUS,V0341
FLNAMORM,V0342,HIGH,V0342,HIGH,V0342,HIGH,UNANIMOUS,V0342
FLNAMORT,V3357,HIGH,V3357,HIGH,V3357,HIGH,UNANIMOUS,V3357
FLNAODOH,V0337,HIGH,V0337,AMBIGUOUS,V0337,HIGH,UNANIMOUS,V0337
FLNAODOM,V0338,HIGH,V0338,AMBIGUOUS,V0338,HIGH,UNANIMOUS,V0338
FLNAVIVH,V3355,HIGH,V3355,HIGH,V3355,HIGH,UNANIMOUS,V3355
FLNAVIVM,V3356,HIGH,V3356,HIGH,V3356,HIGH,UNANIMOUS,V3356
FLNAVIVT,V3354,HIGH,V3354,HIGH,V3354,HIGH,UNANIMOUS,V3354
FLTIDOSH,V3352,HIGH,V3352,HIGH,V3352,HIGH,UNANIMOUS,V3352
FLTIDOSM,V3353,HIGH,V3353,HIGH,V3353,HIGH,UNANIMOUS,V3353
FLTIDOST,V3351,HIGH,V3351,HIGH,V3351,HIGH,UNANIMOUS,V3351
FLVIVOSH,V3361,HIGH,V3361,HIGH,V3361,HIGH,UNANIMOUS,V3361
FLVIVOSM,V3362,HIGH,V3362,HIGH,V3362,HIGH,UNANIMOUS,V3362
FLVIVOST,V3360,HIGH,V3360,HIGH,V3360,HIGH,UNANIMOUS,V3360
FREEZER,V0225,HIGH,V0225,HIGH,V0225,HIGH,UNANIMOUS,V0225
GELADEIR,V0222,HIGH,V0222,HIGH,V0222,HIGH,UNANIMOUS,V0222
HOROUTR,V0355,HIGH,V0355,HIGH,V0355,HIGH,UNANIMOUS,V0355
HORTRAB,V0354,HIGH,V0354,HIGH,V0354,HIGH,UNANIMOUS,V0354
IDADEANO,V3072,HIGH,V3072,HIGH,V3072,HIGH,UNANIMOUS,V3072
IDADEMES,V3073,HIGH,V3073,HIGH,V3073,HIGH,UNANIMOUS,V3073
IDADETIP,V3071,HIGH,V3071,HIGH,V3071,HIGH,UNANIMOUS,V3071
ILUMINA,V0221,HIGH,V0221,HIGH,V0221,HIGH,UNANIMOUS,V0221
