A_var,R1A1,R1A2,R1A3,R2A1,R2A2,R2A3,consensus,chosen,strengths
AGUA,V0205,V0205,V0205,V0205,V0205,V0205,6/6_UNANIMOUS,V0205,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
ALUGUEFX,V2094,V2094,V2094,V2094,V2094,V2094,6/6_UNANIMOUS,V2094,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
ALUGUEL,V0209,V0209,V0209,V0209,V0209,V0209,6/6_UNANIMOUS,V0209,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
APOPENS,V0359,V0359,V0359,V0359,V0359,V0359,6/6_UNANIMOUS,V0359,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
ASPIRPO,V0227,V0227,V0227,V0227,V0227,V0227,6/6_UNANIMOUS,V0227,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
ATIVIDAD,V0347,V0347,V0347,V0347,V0347,V0347,6/6_UNANIMOUS,V0347,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
ATIVISET,V3471,V3471,V3471,V3471,V3471,V3471,6/6_UNANIMOUS,V3471,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
AUTPART,V0218,V0218,V0218,V0218,V0218,V0218,6/6_UNANIMOUS,V0218,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
AUTTRAB,V0219,V0219,V0219,V0219,V0219,V0219,6/6_UNANIMOUS,V0219,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
BANHEIRO,V0213,V0213,V0213,V0213,V0213,V0213,6/6_UNANIMOUS,V0213,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
CARTASS,V0350,V0350,V0350,V0350,V0350,V0350,6/6_UNANIMOUS,V0350,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
CD107,V0109,V0109,V0109,V0109,V0109,V0109,6/6_UNANIMOUS,V0109,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
COBERTUR,V0204,V0204,V0204,V0204,V0204,V0204,6/6_UNANIMOUS,V0204,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
COMBCOZI,V0210,V0210,V0210,V0210,V0210,V0210,6/6_UNANIMOUS,V0210,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
COMODOR,V0212,V0212,V0212,V0212,V0212,V0212,6/6_UNANIMOUS,V0212,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
COMODOS,V0211,V0211,V0211,V0211,V0211,V0211,6/6_UNANIMOUS,V0211,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
CONDOCUP,V0208,V0208,V0208,V0208,V0208,V0208,6/6_UNANIMOUS,V0208,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
CONPREV,V0353,V0353,V0353,V0353,V0353,V0353,6/6_UNANIMOUS,V0353,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
DEFICIE,V0311,V0311,V0311,V0311,V0311,V0311,6/6_UNANIMOUS,V0311,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
DEMOCOFX,V2112,V2112,V2112,V2112,V2112,V2112,6/6_UNANIMOUS,V2112,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
DEMOCOMO,V2111,V2111,V2111,V2111,V2111,V2111,6/6_UNANIMOUS,V2111,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
DEMODOFX,V2122,V2122,V2122,V2122,V2122,V2122,6/6_UNANIMOUS,V2122,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
DEMODORM,V2121,V2121,V2121,V2121,V2121,V2121,6/6_UNANIMOUS,V2121,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
EDANOEST,V3241,V3241,V3241,V3241,V3241,V3241,6/6_UNANIMOUS,V3241,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
EDCURSNS,V0326,V0326,V0326,V0326,V0326,V0326,6/6_UNANIMOUS,V0326,HIGH/HIGH/HIGH/HIGH/HIGH/HIGH
