A_var,R1A1,R1A2,R1A3,R2A1,R2A2,R2A3,R3A1,R3A2,R3A3,consensus,chosen
AGUA,V0205,V0205,V0205,V0205,V0205,V0205,V0205,V0205,V0205,9/9_UNANIMOUS,V0205
ALUGUEFX,V2094,V2094,V2094,V2094,V2094,V2094,V2094,V2094,V2094,9/9_UNANIMOUS,V2094
ALUGUEL,V0209,V0209,V0209,V0209,V0209,V0209,V0209,V0209,V0209,9/9_UNANIMOUS,V0209
APOPENS,V0359,V0359,V0359,V0359,V0359,V0359,V0359,V0359,V0359,9/9_UNANIMOUS,V0359
ASPIRPO,V0227,V0227,V0227,V0227,V0227,V0227,V0227,V0227,V0227,9/9_UNANIMOUS,V0227
ATIVIDAD,V0347,V0347,V0347,V0347,V0347,V0347,V0347,V0347,V0347,9/9_UNANIMOUS,V0347
ATIVISET,V3471,V3471,V3471,V3471,V3471,V3471,V3471,V3471,V3471,9/9_UNANIMOUS,V3471
AUTPART,V0218,V0218,V0218,V0218,V0218,V0218,V0218,V0218,V0218,9/9_UNANIMOUS,V0218
AUTTRAB,V0219,V0219,V0219,V0219,V0219,V0219,V0219,V0219,V0219,9/9_UNANIMOUS,V0219
BANHEIRO,V0213,V0213,V0213,V0213,V0213,V0213,V0213,V0213,V0213,9/9_UNANIMOUS,V0213
CARTASS,V0350,V0350,V0350,V0350,V0350,V0350,V0350,V0350,V0350,9/9_UNANIMOUS,V0350
CD107,V0109,V0109,V0109,V0109,V0109,V0109,V0109,V0109,V0109,9/9_UNANIMOUS,V0109
COBERTUR,V0204,V0204,V0204,V0204,V0204,V0204,V0204,V0204,V0204,9/9_UNANIMOUS,V0204
COMBCOZI,V0210,V0210,V0210,V0210,V0210,V0210,V0210,V0210,V0210,9/9_UNANIMOUS,V0210
COMODOR,V0212,V0212,V0212,V0212,V0212,V0212,V0212,V0212,V0212,9/9_UNANIMOUS,V0212
COMODOS,V0211,V0211,V0211,V0211,V0211,V0211,V0211,V0211,V0211,9/9_UNANIMOUS,V0211
CONDOCUP,V0208,V0208,V0208,V0208,V0208,V0208,V0208,V0208,V0208,9/9_UNANIMOUS,V0208
CONPREV,V0353,V0353,V0353,V0353,V0353,V0353,V0353,V0353,V0353,9/9_UNANIMOUS,V0353
DEFICIE,V0311,V0311,V0311,V0311,V0311,V0311,V0311,V0311,V0311,9/9_UNANIMOUS,V0311
DEMOCOFX,V2112,V2112,V2112,V2112,V2112,V2112,V2112,V2112,V2112,9/9_UNANIMOUS,V2112
DEMOCOMO,V2111,V2111,V2111,V2111,V2111,V2111,V2111,V2111,V2111,9/9_UNANIMOUS,V2111
DEMODOFX,V2122,V2122,V2122,V2122,V2122,V2122,V2122,V2122,V2122,9/9_UNANIMOUS,V2122
DEMODORM,V2121,V2121,V2121,V2121,V2121,V2121,V2121,V2121,V2121,9/9_UNANIMOUS,V2121
EDANOEST,V3241,V3241,V3241,V3241,V3241,V3241,V3241,V3241,V3241,9/9_UNANIMOUS,V3241
EDCURSNS,V0326,V0326,V0326,V0326,V0326,V0326,V0326,V0326,V0326,9/9_UNANIMOUS,V0326
EDCURSO,V0329,V0329,V0329,V0329,V0329,V0329,V0329,V0329,V0329,9/9_UNANIMOUS,V0329
EDGRAU,V0325,V0325,V0325,V0325,V0325,V0325,V0325,V0325,V0325,9/9_UNANIMOUS,V0325
EDSABELE,V0323,V0323,V0323,V0323,V0323,V0323,V0323,V0323,V0323,9/9_UNANIMOUS,V0323
EDSERIE,V0324,V0324,V0324,V0324,V0324,V0324,V0324,V0324,V0324,9/9_UNANIMOUS,V0324
EDULGRAU,V0328,V0328,V0328,V0328,V0328,V0328,V0328,V0328,V0328,9/9_UNANIMOUS,V0328
EDULSERI,V0327,V0327,V0327,V0327,V0327,V0327,V0327,V0327,V0327,9/9_UNANIMOUS,V0327
EMPESTB,V0351,V0351,V0351,V0351,V0351,V0351,V0351,V0351,V0351,9/9_UNANIMOUS,V0351
ESPECIE,V0201,V0201,V0201,V0201,V0201,V0201,V0201,V0201,V0201,9/9_UNANIMOUS,V0201
ESPFAM,V2011,V2011,V2011,V2011,V2011,V2011,V2011,V2011,V2011,9/9_UNANIMOUS,V2011
FILTRO,V0216,V0216,V0216,V0216,V0216,V0216,V0216,V0216,V0216,9/9_UNANIMOUS,V0216
FLDOMICH,V0335,V0337,V0335,V0335,V0335,V0335,V0335,V0335,V0335,8/9_MAJORITY,V0335
FLDOMICM,V0336,V0338,V0336,V0336,V0336,V0336,V0336,V0336,V0336,8/9_MAJORITY,V0336
