A_var,A_org_id,A_descricao,proposed_vcode,B_match_vcode,B_match_desc,C_match_vcode,C_match_desc,v050_present_pop,v050_present_hh,evidence_strength,notes
UFNOM,21,Nome da UF,,,,,,N,N,CANNOT_MAP,Nome textual da UF; não há V-code histórico (apenas o código numérico V1101). Variável derivável a partir do code via crosswalk.
UFNUM,22,Codigo da UF,V1101,V1101,Unidade da Federação,V1101,UF,Y,Y,HIGH,3 sources agree.
MESONOM,31,Nome da Mesorregiao,,,,,,N,N,CANNOT_MAP,Nome textual da meso; sem V-code histórico (V7001 é código).
MESONUM,32,Codigo da Mesorregiao,V7001,V7001,Mesorregião,V7001,Mesorregião,Y,Y,HIGH,3 sources agree.
MICRONOM,41,Nome da Microrregiao,,,,,,N,N,CANNOT_MAP,Nome textual da micro; sem V-code histórico.
MICRONUM,42,Codigo da Microrregiao,V7002,V7002,Microrregião,V7002,Microrregião,Y,Y,HIGH,3 sources agree.
MUNICNOM,51,Nome do municipio,,,,,,N,N,CANNOT_MAP,Nome textual do municipio; sem V-code histórico (V1102 é código).
METROP,52,Codigo da area metropolitana,V7003,V7003,Região Metropolitana,V7003,Regiao metropolitana,Y,Y,HIGH,Categorias coincidem (0=Não metro, 1=Belém, ...).
MUNICNUM,53,Codigo do municipio,V1102,V1102,Município,V1102,Município,Y,Y,HIGH,3 sources agree.
SITSET,85,Situacao do Setor,V1061,V1061,Situação do Domicílio,V1061,Situação do Domicílio,Y,Y,HIGH,Categorias 1-8 coincidem.
AGUA,91,Abastecimento de agua,V0205,V0205,Abastecimento de Água,V0205,Abastecimento de Água,Y,Y,HIGH,Categorias 1-6 coincidem (rede/poço/outra com/sem canalização).
ALUGUEFX,92,Faixa de aluguel,V2094,V2094,Faixas de Aluguel Mensal,V2094,Faixas de Aluguel Mensal,Y,Y,HIGH,Categorias 0-9 coincidem.
ALUGUEL,93,Aluguel mensal,V0209,V0209,Aluguel Mensal,V0209,Aluguel Mensal,Y,Y,HIGH,Campo numérico de valor pago.
ASPIRPO,94,Aspirador de po,V0227,V0227,Aspirador de Pó,V0227,Aspirador de Pó,Y,Y,HIGH,3 sources agree.
AUTPART,95,Automovel particular,V0218,V0218,Automóvel Particular,V0218,Automóvel Particular,Y,Y,HIGH,Categorias coincidem.
AUTTRAB,96,Automovel para trabalho,V0219,V0219,Automóvel para Trabalho,V0219,Automóvel para Trabalho,Y,Y,HIGH,Categorias coincidem.
BANHEIRO,97,Numero de Banheiros,V0213,V0213,Banheiros,V0213,Banheiros,Y,Y,HIGH,Categorias 0-5 coincidem.
CD107,98,Numero do domic no CD107,V0109,V0109,Número do Domicílio no CD 1.07,V0109,Número do Domicílio,Y,Y,HIGH,3 sources agree.
COBERTUR,99,Cobertura,V0204,V0204,Cobertura,V0204,Cobertura,Y,Y,HIGH,Categorias 1-8 coincidem.
COMBCOZI,9.10,Combustivel usado p/ cozinhar,V0210,V0210,Combustível Usado para Cozinhar,V0210,Combustível Usado para Cozinhar,Y,Y,HIGH,Categorias 0-6 coincidem.
COMODOR,9.11,Comodos servindo de dormitorio,V0212,V0212,Cômodos Servindo de Dormitório,V0212,Cômodos Servindo de Dormitório,Y,Y,HIGH,3 sources agree.
COMODOS,9.12,Total de comodos,V0211,V0211,Total de Cômodos,V0211,Total de Cômodos,Y,Y,HIGH,3 sources agree.
CONDOCUP,9.13,Condicao de Ocupacao,V0208,V0208,Condição de Ocupação do Domicílio,V0208,Condição de Ocupação do Domicílio,Y,Y,HIGH,Categorias 1-6 coincidem.
DEMOCOFX,9.14,Faixa densid morador/comodo,V2112,V2112,Faixas de Densidade de Moradores por Cômodo,V2112,Faixas de Densidade de Moradores por Cômodo,Y,Y,HIGH,Categorias 1-5 coincidem.
DEMOCOMO,9.15,Densidade morador comodo,V2111,V2111,Densidade de Moradores por Cômodo,V2111,Densidade de Moradores por Cômodo,Y,Y,HIGH,REAL field; 3 sources agree.
DEMODOFX,9.16,Faixa densid morad/dormitorio,V2122,V2122,Faixas de Densidade de Moradores por Dormitório,V2122,Faixas de Densidade de Moradores por Dormitório,Y,Y,HIGH,Categorias 1-7 coincidem.
DEMODORM,9.17,Densidade morador dormitorio,V2121,V2121,Densidade de Moradores por Dormitório,V2121,Densidade de Moradores por Dormitório,Y,Y,HIGH,REAL field; 3 sources agree.
ESPECIE,9.18,Especie do domicilio,V0201,V0201,Espécie do Domicílio,V0201,Espécie do Domicílio,Y,Y,HIGH,Categorias 1-3 coincidem.
FILTRO,9.19,Filtro de agua,V0216,V0216,Filtro de Água,V0216,Filtro de Água,Y,Y,HIGH,3 sources agree.
FREEZER,9.20,Freezer,V0225,V0225,Freezer,V0225,Freezer,Y,Y,HIGH,3 sources agree.
GELADEIR,9.21,Geladeira,V0222,V0222,Geladeira,V0222,Geladeira,Y,Y,HIGH,Categorias 0-2 coincidem.
ILUMINA,9.22,Iluminacao,V0221,V0221,Iluminação,V0221,Iluminação,Y,Y,HIGH,Categorias 1-4 coincidem.
LIXO,9.23,Destino do lixo,V0214,V0214,Destino do Lixo,V0214,Destino do Lixo,Y,Y,HIGH,Categorias 1-7 coincidem.
LOCALIZA,9.24,Localizacao,V0202,V0202,Localização,V0202,Localização,Y,Y,HIGH,Categorias 1-7 coincidem.
MAQLAVAR,9.25,Maquina lavar roupa,V0226,V0226,Máquina de Lavar Roupa,V0226,Máquina de Lavar Roupa,Y,Y,HIGH,3 sources agree.
PAREDES,9.26,Paredes,V0203,V0203,Paredes,V0203,Paredes,Y,Y,HIGH,Categorias 1-6 coincidem.
PESO,9.27,Peso de expansao,V7300,V7300,Peso ou Fator para Expansão da Amostra,V7300,Peso ou Fator para Expansão da Amostra,N,Y,HIGH,Domicilio: V7300; em pessoa seria V7301 mas A descricao é REAL/Peso de expansao alinhado com record de domicilio.
RADIO,9.28,Radio,V0220,V0220,Rádio,V0220,Rádio,Y,Y,HIGH,3 sources agree.
RDOMICIV,9.29,Renda domiciliar,V2012,V2012,Rendimento Nominal Médio Mensal Domiciliar,V2012,Rendimento Nominal Médio Mensal Domiciliar,Y,Y,HIGH,Campo numérico de valor.
RDONOMIF,9.30,Faixa renda dom nominal,V2013,V2013,Faixas de Rendimento Nominal Médio Mensal Domiciliar,V2013,Faixas de Rendimento Nominal Médio Mensal Domiciliar,Y,Y,HIGH,Categorias 1-13 coincidem.
RDOREALF,9.31,Faixa renda dom real,V2014,V2014,Faixas de Rendimento Real Médio Mensal Domiciliar,V2014,Faixas de Rendimento Real Médio Mensal Domiciliar,Y,Y,HIGH,Categorias 1-13 coincidem.
