"file_raw","dataset_name","column_name","column_order","type_parquet","source_sheet","source_name_original","theme","label_pt","categories","coverage_notes","key_role","join_key","present_in_workbook_dict","present_in_md_dict","notes"
"2022_Basico.parquet","Basico","code_tract","1","string","Basico","CD_SETOR","Identificação Geográfica","Geocódigo de Setor Censitário","","Basic universe with 468099 unique tracts and no `code_tract` duplicates. Includes 9327 tracts absent from the six thematic files with 458772 rows.","primary_key","yes","yes","yes",""
"2022_Basico.parquet","Basico","situacao","2","string","Basico","SITUACAO","Identificação Geográfica","Situação do Setor Censitário","Urbana; Rural","Basic universe with 468099 unique tracts and no `code_tract` duplicates. Includes 9327 tracts absent from the six thematic files with 458772 rows.","descriptor","no","yes","yes",""
"2022_Basico.parquet","Basico","code_situacao","3","double","Basico","CD_SIT","Identificação Geográfica","Situação detalhada do Setor Censitário","1 = Área urbana de alta densidade de edificações de cidade ou vila; 2 = Área urbana de baixa densidade de edificações de cidade ou vila; 3 = Núcleo urbano; 5 = Aglomerado rural - Povoado; 6 = Aglomerado rural - Núcleo rural; 7 = Aglomerado rural - Lugarejo; 8 = Área rural (exclusive aglomerados); 9 = Massas de água","Basic universe with 468099 unique tracts and no `code_tract` duplicates. Includes 9327 tracts absent from the six thematic files with 458772 rows.","descriptor","no","yes","yes",""
"2022_Basico.parquet","Basico","code_type","4","double","Basico","CD_TIPO","Identificação Geográfica","Tipo do Setor Censitário","0 = Não especial; 1 = Favela e Comunidade Urbana; 2 = Quartel e base militar; 3 = Alojamento / acampamento; 4 = Setor com baixo patamar domiciliar; 5 = Agrupamento indígena; 6 = Unidade prisional; 7 = Convento / hospital / ILPI / IACA; 8 = Agrovila do PA; 9 = Agrupamento quilombola","Basic universe with 468099 unique tracts and no `code_tract` duplicates. Includes 9327 tracts absent from the six thematic files with 458772 rows.","descriptor","no","yes","yes",""
"2022_Basico.parquet","Basico","area_km2","5","double","Basico","AREA_KM2","Identificação Geográfica","Área do Setor Censitário em quilômetros quadrados","","Basic universe with 468099 unique tracts and no `code_tract` duplicates. Includes 9327 tracts absent from the six thematic files with 458772 rows.","measure","no","yes","yes",""
"2022_Basico.parquet","Basico","code_region","6","double","Basico","CD_REGIAO","Identificação Geográfica","Código das Grandes Regiões (Regiões Geográficas)","","Basic universe with 468099 unique tracts and no `code_tract` duplicates. Includes 9327 tracts absent from the six thematic files with 458772 rows.","geo_id","possible","yes","yes",""
"2022_Basico.parquet","Basico","name_region","7","string","Basico","NM_REGIAO","Identificação Geográfica","Nome das Grandes Regiões (Regiões Geográficas)","","Basic universe with 468099 unique tracts and no `code_tract` duplicates. Includes 9327 tracts absent from the six thematic files with 458772 rows.","descriptor","no","yes","yes",""
"2022_Basico.parquet","Basico","code_state","8","double","Basico","CD_UF","Identificação Geográfica","Código da Unidade da Federação","","Basic universe with 468099 unique tracts and no `code_tract` duplicates. Includes 9327 tracts absent from the six thematic files with 458772 rows.","geo_id","possible","yes","yes",""
"2022_Basico.parquet","Basico","name_state","9","string","Basico","NM_UF","Identificação Geográfica","Nome da Unidade da Federação","","Basic universe with 468099 unique tracts and no `code_tract` duplicates. Includes 9327 tracts absent from the six thematic files with 458772 rows.","descriptor","no","yes","yes",""
"2022_Basico.parquet","Basico","code_muni","10","double","Basico","CD_MUN","Identificação Geográfica","Código do Município","","Basic universe with 468099 unique tracts and no `code_tract` duplicates. Includes 9327 tracts absent from the six thematic files with 458772 rows.","geo_id","possible","yes","yes",""
"2022_Basico.parquet","Basico","name_muni","11","string","Basico","NM_MUN","Identificação Geográfica","Nome do Município","","Basic universe with 468099 unique tracts and no `code_tract` duplicates. Includes 9327 tracts absent from the six thematic files with 458772 rows.","descriptor","no","yes","yes",""
"2022_Basico.parquet","Basico","code_district","12","double","Basico","CD_DIST","Identificação Geográfica","Código do Distrito","","Basic universe with 468099 unique tracts and no `code_tract` duplicates. Includes 9327 tracts absent from the six thematic files with 458772 rows.","geo_id","possible","yes","yes",""
"2022_Basico.parquet","Basico","name_district","13","string","Basico","NM_DIST","Identificação Geográfica","Nome do Distrito","","Basic universe with 468099 unique tracts and no `code_tract` duplicates. Includes 9327 tracts absent from the six thematic files with 458772 rows.","descriptor","no","yes","yes",""
"2022_Basico.parquet","Basico","code_subdistrict","14","double","Basico","CD_SUBDIST","Identificação Geográfica","Código do Subdistrito","","Basic universe with 468099 unique tracts and no `code_tract` duplicates. Includes 9327 tracts absent from the six thematic files with 458772 rows.","geo_id","possible","yes","yes",""
"2022_Basico.parquet","Basico","name_subdistrict","15","string","Basico","NM_SUBDIST","Identificação Geográfica","Nome do Subdistrito","","Basic universe with 468099 unique tracts and no `code_tract` duplicates. Includes 9327 tracts absent from the six thematic files with 458772 rows.","descriptor","no","yes","yes",""
"2022_Basico.parquet","Basico","code_neighborhood","16","double","Basico","CD_BAIRRO","Identificação Geográfica","Código do Bairro","","Basic universe with 468099 unique tracts and no `code_tract` duplicates. Includes 9327 tracts absent from the six thematic files with 458772 rows.","geo_id","possible","yes","yes",""
